CustomerID,Name,Sex,HouseLocation,Age,MaritalStatus,AccountBalance,Risk,IncomeEstimation,TransactionID,Amount,LocationCity,TransactionDateTime,AccountBalanceAfter,MerchantID,MCC,AccountType,MCC_Code,Merchant_Name,SubCategory,Location,Unnamed: 0,Offer_ID,Offer_Description,Offer_Start_Date,Offer_End_Date
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,3,98895.55908861202,Alexandria,2024-06-22 09:00:55,6179.31,21,5912,DEBIT,5651,Zara,Clothing,Alexandria,21,21,"Buy 2, get 1 free on all items",2023-10-05,2023-10-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,3,98895.55908861202,Alexandria,2024-06-22 09:00:55,6179.31,21,5912,DEBIT,5651,Zara,Clothing,Alexandria,71,71,"Buy 1, get 1 free on all sweaters",2023-11-05,2023-11-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,6,142340.1346040511,Fayoum,2024-10-21 13:07:03,6658.36,23,5732,DEBIT,5651,Bershka,Clothing,Luxor,23,23,Free scarf with any winter jacket purchase,2023-10-15,2023-10-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,6,142340.1346040511,Fayoum,2024-10-21 13:07:03,6658.36,23,5732,DEBIT,5651,Bershka,Clothing,Luxor,73,73,Free gloves with any winter coat purchase,2023-11-15,2023-11-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,53,97681.53374805045,Suez,2024-07-15 16:42:15,4595.33,20,5732,CREDIT_CARD,5651,H&M,Clothing,Cairo,20,20,50% off on all summer clothing,2023-10-01,2023-10-15
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,53,97681.53374805045,Suez,2024-07-15 16:42:15,4595.33,20,5732,CREDIT_CARD,5651,H&M,Clothing,Cairo,70,70,40% off on all winter clothing,2023-11-01,2023-11-15
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,59,21546.466759871735,Aswan,2024-02-03 09:22:54,9417.72,23,5732,CREDIT_CARD,5651,Bershka,Clothing,Luxor,23,23,Free scarf with any winter jacket purchase,2023-10-15,2023-10-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,59,21546.466759871735,Aswan,2024-02-03 09:22:54,9417.72,23,5732,CREDIT_CARD,5651,Bershka,Clothing,Luxor,73,73,Free gloves with any winter coat purchase,2023-11-15,2023-11-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,67,136144.02496407265,Mansoura,2024-07-26 00:35:28,9181.5,5,5732,CREDIT_CARD,5812,Starbucks,Restaurant,Cairo,5,5,"Buy one coffee, get one free",2023-10-25,2023-11-10
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,67,136144.02496407265,Mansoura,2024-07-26 00:35:28,9181.5,5,5732,CREDIT_CARD,5812,Starbucks,Restaurant,Cairo,55,55,Free refill on all coffee orders,2023-11-25,2023-12-10
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,72,47114.644498054025,Alexandria,2024-05-14 05:42:16,4029.04,42,5999,CREDIT_CARD,5912,19011 Pharmacy,Pharmacy,Giza,42,42,Free consultation with any purchase above EGP 200,2023-10-10,2023-10-25
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,72,47114.644498054025,Alexandria,2024-05-14 05:42:16,4029.04,42,5999,CREDIT_CARD,5912,19011 Pharmacy,Pharmacy,Giza,92,92,Free consultation with any purchase above EGP 300,2023-11-10,2023-11-25
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,75,4777.217408257807,Luxor,2024-08-10 05:36:08,2215.4,19,5411,DEBIT,5411,Alfa Market,Grocery,Aswan,19,19,Get a free gift on purchases above EGP 200,2023-10-15,2023-10-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,75,4777.217408257807,Luxor,2024-08-10 05:36:08,2215.4,19,5411,DEBIT,5411,Alfa Market,Grocery,Aswan,69,69,Get a free gift on purchases above EGP 300,2023-11-15,2023-11-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,76,164299.3328826644,Port Said,2024-06-29 18:01:39,581.55,14,5912,CREDIT_CARD,5411,Kheir Zaman,Grocery,Aswan,14,14,15% off on all dairy products,2023-10-20,2023-11-05
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,76,164299.3328826644,Port Said,2024-06-29 18:01:39,581.55,14,5912,CREDIT_CARD,5411,Kheir Zaman,Grocery,Aswan,64,64,20% off on all frozen foods,2023-11-20,2023-12-05
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,92,135668.39747240816,Suez,2024-12-26 06:31:34,2163.23,13,5941,DEBIT,5411,Alfa Market,Grocery,Luxor,13,13,Free delivery on orders above EGP 300,2023-10-15,2023-10-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,92,135668.39747240816,Suez,2024-12-26 06:31:34,2163.23,13,5941,DEBIT,5411,Alfa Market,Grocery,Luxor,63,63,Free delivery on orders above EGP 400,2023-11-15,2023-11-30
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,113,23983.544387304104,Giza,2024-10-01 01:47:01,4317.23,8,5812,DEBIT,5812,El Tahrir Restaurant,Restaurant,Luxor,8,8,Free dessert with any main course,2023-10-10,2023-10-25
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,113,23983.544387304104,Giza,2024-10-01 01:47:01,4317.23,8,5812,DEBIT,5812,El Tahrir Restaurant,Restaurant,Luxor,58,58,10% off on all seafood dishes,2023-11-10,2023-11-25
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,118,8467.091381806978,Cairo,2024-03-02 17:27:16,8581.53,37,5732,DEBIT,5732,B.Tech,Electronics,Giza,37,37,20% off on all gaming consoles,2023-10-05,2023-10-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,118,8467.091381806978,Cairo,2024-03-02 17:27:16,8581.53,37,5732,DEBIT,5732,B.Tech,Electronics,Giza,87,87,30% off on all gaming accessories,2023-11-05,2023-11-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,124,118212.18104614221,Fayoum,2024-12-16 11:13:30,8434.23,1,5999,DEBIT,5812,McDonald's,Restaurant,Alexandria,1,1,"Buy one Big Mac, get one free",2023-10-05,2023-10-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,124,118212.18104614221,Fayoum,2024-12-16 11:13:30,8434.23,1,5999,DEBIT,5812,McDonald's,Restaurant,Alexandria,51,51,20% off on all breakfast meals,2023-11-05,2023-11-20
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,133,122066.3639535881,Mansoura,2024-10-19 00:07:32,1407.81,14,5941,CREDIT_CARD,5411,Kheir Zaman,Grocery,Aswan,14,14,15% off on all dairy products,2023-10-20,2023-11-05
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,133,122066.3639535881,Mansoura,2024-10-19 00:07:32,1407.81,14,5941,CREDIT_CARD,5411,Kheir Zaman,Grocery,Aswan,64,64,20% off on all frozen foods,2023-11-20,2023-12-05
0,Ahmed Ali,Male,Cairo,30,Single,15000.0,Medium,50000.0,142,91394.706484032,Aswan,2024-09-25 02:00:31,8410.56,39,5941,CREDIT_CARD,5732,Apple Store,Electronics,Aswan,39,39,10% off on all Apple products,2023-10-15,2023-10-30
